Username,Review,Media,Rating,Date
J***l,Wanginya unik dan enak clove dan orangenya dominan... keren racikannya Project 1945 keren...,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
danielsumarjiyo,"Barang cepat sampai dgn aman, wanginya enak. Mantab, maju terus buat parfum2 lokal indo.",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
M***e,"Cocok buat pecinta wangi spicy. Sudah pembelian varian ke 3, sementara ini lebih suka yg great batavia. Sering2 harga promo ya :)",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
F***d,"Packingnya istimewa. Aromanya dari semprotan pertama tidak agresif enak lembut, aroma cengkehnya jadi khas banget Indonesia. Harganya reasonable. Cocok untuk harian.",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
i***n,"Tertarik karena packagingnya yg kece tapi ternyata isinya juga bikin diri makin kece, sukak :D",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
M***d,"Wanginyq enak, ngga terlalu strong mantal banget packagingnya juga keren abisss",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,7 bulan lalu
Adit,"Wanginya fresh, hangat dan ada pedesnya gitu, seger bgt mirip kaya wangi dede bayi yg keluar sore2. Keren sesuai konsep 👍🏽",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
A***n,Menurut saya wanginya sangat Berkelas. ⭐️⭐️⭐️⭐️⭐️,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
Stefanus,"maaf bru ulas dan menyelesaikan pesanan, karena paket bru bisa saya ambil hari Sabtu nya",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Achmad,"Mantap, kemasan oke , spl ok, wangi cocok!!",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
